"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
359,1585,"Curaçao and Sint Maarten",355,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",15519553.07,104754189.9,-9865921.788,-153227374.3,-39463128.49,342179971.7
360,1586,"Curaçao and Sint Maarten",355,"Supplementary_Current_Capital","BTCC_BP6_USD",-495425139.7,-603058100.6,-625733292.9,-719179025.1,-690632017.2,-929055977.4
361,1604,"Curaçao, Kingdom of the Netherlands",354,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-21508379.89,-26346368.72,-5466777.335,-1743997.994,-21123354.22,380907307.8
362,1605,"Curaçao, Kingdom of the Netherlands",354,"Financial_Loans_Total","BFOLN_BP6_USD",19983240.22,20865921.79,11880185.16,-12282369.83,222031781.5,-362548099.5
363,1607,"Curaçao, Kingdom of the Netherlands",354,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-518977653.6,-584614525.1,-681155527,-810348747.5,-535639108.1,-688539315.1
364,1615,"Curaçao, Kingdom of the Netherlands",354,"Current_Account_Credit","BXGS_BP6_USD",1964435754,1784156425,1766117904,1934706439,1774962070,1014456907
365,1616,"Curaçao, Kingdom of the Netherlands",354,"Current_Account_Debit","BMGS_BP6_USD",2439798883,2310072626,2432779732,2745157151,2331153089,1708939522
366,1619,"Curaçao, Kingdom of the Netherlands",354,"Transport_Services_Credit","BXSTR_BP6_USD",164497206.7,135815642.5,78694427.38,52079128.61,53918777.77,49036507.21
367,1620,"Curaçao, Kingdom of the Netherlands",354,"Transport_Services_Debit","BMSTR_BP6_USD",123201117.3,116262569.8,128346343,110791603.6,125671866.1,72785085.93
368,1624,"Curaçao, Kingdom of the Netherlands",354,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",11491620.11,77513966.48,-7307262.57,-113388257,-29202715.08,253213179
369,1625,"Curaçao, Kingdom of the Netherlands",354,"Supplementary_Current_Capital","BTCC_BP6_USD",-518977653.6,-584614525.1,-681155527,-810348747.5,-535639108.1,-688539315.1
370,1627,"Cyprus",423,"Current_Account_Credit","BXGS_BP6_USD",13904593792,14781779885,17000470675,19144948810,19835078554,20379031326
371,1628,"Cyprus",423,"Current_Account_Debit","BMGS_BP6_USD",13381858398,14412980718,17093324411,18779375940,19574957695,20711230043
372,1631,"Cyprus",423,"Transport_Services_Credit","BXSTR_BP6_USD",3009380157,3133811278,3428635423,3811376189,3872807578,3701154253
373,1632,"Cyprus",423,"Transport_Services_Debit","BMSTR_BP6_USD",1730494984,1896093032,2002057290,2304331519,2530139267,2149239856
374,1633,"Cyprus",423,"Supplementary_Current_Capital","BTCC_BP6_USD",-77947652.95,-846041676.1,-1037576936,-824568323.6,-1470470248,-2546705560
375,1634,"Cyprus",423,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-77947652.95,-846041676.1,-1037576936,-824568323.6,-1470470248,-2546705560
376,1638,"Cyprus",423,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",8469672308,-2608883985,-4134467197,-2993348103,6497067636,-10241889570
377,1639,"Cyprus",423,"Financial_Loans_Total","BFOLN_BP6_USD",-14336843165,-394811001.4,4018909783,-334716251.6,-4710233763,9036911210
378,1640,"Cyprus",423,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-5771641.381,-26092972.81,-6484106.683,59985560.94,-1618582.249,37848373.58
379,1662,"Czech Rep.",935,"Transport_Services_Debit","BMSTR_BP6_USD",4597939758,4485003623,5053759016,5903632761,5987702857,5531703023
380,1667,"Czech Rep.",935,"Financial_Loans_Total","BFOLN_BP6_USD",1416904690,4448713026,-1339724001,-1048186949,690642608.7,2483051340
381,1668,"Czech Rep.",935,"Transport_Services_Credit","BXSTR_BP6_USD",5527063499,5710343503,6452576907,7506202793,7003560949,6407685330
382,1671,"Czech Rep.",935,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-1316186309,-3576154374,656156690.2,2349090441,-1450352677,-1494016978
383,1677,"Czech Rep.",935,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",14287992354,22983107211,49369837967,2219593375,4783176799,2042084918
384,1678,"Czech Rep.",935,"Supplementary_Current_Capital","BTCC_BP6_USD",4857173531,5594715127,4976051880,1825011297,1960344915,7832240964
385,1680,"Czech Rep.",935,"Current_Account_Debit","BMGS_BP6_USD",1.40294e+11,1.40319e+11,1.5698e+11,1.76775e+11,1.71429e+11,1.56129e+11
386,1682,"Czech Rep.",935,"Current_Account_Credit","BXGS_BP6_USD",1.51446e+11,1.5529e+11,1.73235e+11,1.91694e+11,1.86545e+11,1.72837e+11
387,1690,"Czech Rep.",935,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",4857132460,5594835687,4976097786,1824871122,1960343990,7832372363
388,1693,"Denmark",128,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-975325852.1,-578445183,-853733204.5,-67156292.98,-2866416716,422968937.7
389,1694,"Denmark",128,"Financial_Loans_Total","BFOLN_BP6_USD",-4246562236,24200582392,28470654362,-35371096643,8824712742,-6464583642
390,1695,"Denmark",128,"Current_Account_Debit","BMGS_BP6_USD",1.47193e+11,1.46364e+11,1.59497e+11,1.79939e+11,1.79356e+11,1.72954e+11
391,1697,"Denmark",128,"Transport_Services_Credit","BXSTR_BP6_USD",36668765198,32628018398,37501358062,42282555438,44428330262,43002827938
392,1698,"Denmark",128,"Transport_Services_Debit","BMSTR_BP6_USD",28487740147,26742362584,28578137325,32609304600,34648679013,32941868466
393,1702,"Denmark",128,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",23896149734,24337867667,26883980273,25793176081,30678361164,28633018100
394,1705,"Denmark",128,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-3083699469,1510075158,2611119328,-1148809929,-3209278836,-760435349.1
395,1710,"Denmark",128,"Current_Account_Credit","BXGS_BP6_USD",1.6776e+11,1.67287e+11,1.83375e+11,2.01745e+11,2.05019e+11,1.95876e+11
396,1718,"Denmark",128,"Supplementary_Current_Capital","BTCC_BP6_USD",23895999761,24338020380,26883980650,25793341167,30678662255,28632713563
397,1723,"Djibouti",611,"Current_Account_Debit","BMGS_BP6_USD",2980595334,2847426376,4306020582,4188952354,4763667490,3424742925
398,1727,"Djibouti",611,"Transport_Services_Debit","BMSTR_BP6_USD",433175502,414461223.2,620817370.3,498247252.7,531721068.4,435009080.9
399,1731,"Djibouti",611,"Current_Account_Credit","BXGS_BP6_USD",3525582233,2703006398,4146589317,4563067955,5149672802,3694847411
400,1732,"Djibouti",611,"Financial_Loans_Total","BFOLN_BP6_USD",-389915840,-432446520.1,-294765812.7,-75132347.89,-136357661.7,-214363299.8
401,1733,"Djibouti",611,"Supplementary_Current_Capital","BTCC_BP6_USD",761906114.7,7814703.632,-106343560.3,502114104.5,608101406.1,402988883
402,1734,"Djibouti",611,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-26287821.34,41504494.02,158055361.6,-110626134.7,40057629.1,184077476.9
403,1735,"Djibouti",611,"Transport_Services_Credit","BXSTR_BP6_USD",496834926.7,525970481.8,537584191,555511166.4,615475942.6,510856773.6
404,1737,"Djibouti",611,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",761906114.7,7814703.632,-106343560.3,502114104.5,608101406.1,402988883
405,1738,"Djibouti",611,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",388444545.1,439061551.5,287938032.1,68184660.23,148142313,296520951.4
406,1755,"Dominica",321,"Current_Account_Credit","BXGS_BP6_USD",268226050.7,269649442.9,217536249.5,156550657.8,211175033.1,95366374.64
407,1756,"Dominica",321,"Current_Account_Debit","BMGS_BP6_USD",326494116.7,329423042.7,319925536.2,420177115.4,426026531.2,303326005.6
408,1760,"Dominica",321,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",12697042.59,-24645225.97,517474.6741,-10400233.46,-11365372.84,42444705.74
409,1761,"Dominica",321,"Financial_Loans_Total","BFOLN_BP6_USD",-5706853.53,38400678.25,25861355.29,7847587.9,4051596.919,-49475342.33
410,1766,"Dominica",321,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",30049429.21,102763622.2,320113892.7,-94999261.68,-157668549.9,-76655879.88
411,1768,"Dominica",321,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",24826310.14,95725218.78,-9679480.623,-20955615.3,-36187958.66,10642253.89
412,1770,"Dominica",321,"Supplementary_Current_Capital","BTCC_BP6_USD",30049429.21,102763622.2,320113892.7,-94999261.68,-157668549.9,-76655879.88
413,1774,"Dominica",321,"Transport_Services_Credit","BXSTR_BP6_USD",723170.8493,780955.5852,836029.137,1523536.102,1679356.392,782743.8339
414,1775,"Dominica",321,"Transport_Services_Debit","BMSTR_BP6_USD",34067786.92,31439080.24,28741025.99,39261529.91,42932577.79,23826972.16
415,1780,"Dominican Rep.",243,"Current_Account_Credit","BXGS_BP6_USD",16983600000,18148800000,18991400000,20051700000,20509200000,14889400000
416,1781,"Dominican Rep.",243,"Current_Account_Debit","BMGS_BP6_USD",20080500000,20768200000,21041300000,24114400000,2.4526e+10,20301900000
417,1782,"Dominican Rep.",243,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",808700000,-812700000,-131600000,-1319300000,-1186500000,-1336300000
418,1785,"Dominican Rep.",243,"Transport_Services_Credit","BXSTR_BP6_USD",547700000,5.81e+08,609600000,645500000,671700000,341200000
419,1786,"Dominican Rep.",243,"Transport_Services_Debit","BMSTR_BP6_USD",1550400000,1.626e+09,1571100000,1646300000,1703900000,1408300000
420,1792,"Dominican Rep.",243,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-4259900000,-745100000,-1378600000,-388400000,-149200000,3.87e+08
421,1796,"Dominican Rep.",243,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",407271417.3,782993348.7,725172163.4,849357166.8,1150226521,1959281618
422,1798,"Dominican Rep.",243,"Financial_Loans_Total","BFOLN_BP6_USD",4260200000,744600000,1381500000,389400000,150700000,-391200000
423,1801,"Dominican Rep.",243,"Supplementary_Current_Capital","BTCC_BP6_USD",806800000,-814700000,-133100000,-1321500000,-1187900000,-1337300000
424,1808,"Eastern Caribbean Currency Union",309,"Transport_Services_Credit","BXSTR_BP6_USD",163566984.5,175610172.3,167306903.7,168670925.1,175903788.5,62053109.67
425,1809,"Eastern Caribbean Currency Union",309,"Transport_Services_Debit","BMSTR_BP6_USD",346046614.4,355718399.5,360573023.9,414644559,420399153.7,265490921.4
426,1821,"Eastern Caribbean Currency Union",309,"Current_Account_Credit","BXGS_BP6_USD",3593144038,3561189710,3630450562,3785676581,4166131927,2080298514
427,1824,"Eastern Caribbean Currency Union",309,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-161045801.2,-284081249.9,67720408.73,-644492894.3,-302415300.3,-799929846.4
428,1825,"Eastern Caribbean Currency Union",309,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",149280126.7,129706067.4,57178784.43,-4372055.468,-66059223.38,16192073.75
429,1826,"Eastern Caribbean Currency Union",309,"Current_Account_Debit","BMGS_BP6_USD",3567470427,3788050724,3888282728,4401558413,4436332285,3173473457
430,1828,"Eastern Caribbean Currency Union",309,"Supplementary_Current_Capital","BTCC_BP6_USD",-161045801.2,-284081249.9,67720408.73,-644492894.3,-302415300.3,-799929846.4
431,1831,"Eastern Caribbean Currency Union",309,"Financial_Loans_Total","BFOLN_BP6_USD",75185562.89,632836516.4,286756277.2,-47167585.86,-382322816.8,-421086390.8
432,1835,"Eastern Caribbean Currency Union",309,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-21336891.24,-96441583.18,-116898007,-4378570.952,-1187343.148,304099938.7
433,1839,"Ecuador",248,"Transport_Services_Credit","BXSTR_BP6_USD",444263888,532341328.9,558422250.1,583565513.2,616302779.3,663363885.8
434,1841,"Ecuador",248,"Transport_Services_Debit","BMSTR_BP6_USD",1510099397,1239283958,1471441255,1548386909,1621947375,1116655802
435,1859,"Ecuador",248,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-2269837697,621700692.7,-56834043.61,-1484537461,-69838694.53,2514038118
436,1865,"Ecuador",248,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",3086926000,4498076918,-665745592,1162122369,4242852855,3501568082
437,1867,"Ecuador",248,"Financial_Loans_Total","BFOLN_BP6_USD",-3086926000,-3935306918,426525592,-1572702369,-4107352855,-3847208082
438,1869,"Ecuador",248,"Supplementary_Current_Capital","BTCC_BP6_USD",-2290211697,602153692.7,-75595043.61,-1501904461,-83116694.53,2316003118
439,1875,"Ecuador",248,"Current_Account_Debit","BMGS_BP6_USD",23895100782,19513990730,23021810216,26296147654,25889482278,19876356275
440,1883,"Ecuador",248,"Current_Account_Credit","BXGS_BP6_USD",21440060545,20088895588,22530313905,25406322774,26025791422,22373343969
441,1891,"Ecuador",248,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-1450259598,1833955960,-2305457803,171159996.3,713352238.2,4146430660
442,1903,"Egypt, Arab Rep. of",469,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",1336891537,7610809840,12290946861,5433732927,2082216783,-7532941776
443,1910,"Egypt, Arab Rep. of",469,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-642500000,4078500000,4389800000,4010900000,5462630000,7311220000
444,1911,"Egypt, Arab Rep. of",469,"Financial_Loans_Total","BFOLN_BP6_USD",642500000,-4078500000,-4389800000,-4010900000,-5462630000,-7311220000
445,1912,"Egypt, Arab Rep. of",469,"Current_Account_Credit","BXGS_BP6_USD",37569400000,33624300000,42874700000,51619507000,53522607000,40101707000
446,1913,"Egypt, Arab Rep. of",469,"Current_Account_Debit","BMGS_BP6_USD",67938800000,68301400000,70224100000,76328100000,78950800000,72482400000
447,1914,"Egypt, Arab Rep. of",469,"Supplementary_Current_Capital","BTCC_BP6_USD",-17390800000,-20596800000,-8095300000,-7831241088,-10391395259,-14468556909
448,1918,"Egypt, Arab Rep. of",469,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-17390800000,-20596800000,-8095300000,-7831241088,-10391395259,-14468556909
449,1922,"Egypt, Arab Rep. of",469,"Transport_Services_Credit","BXSTR_BP6_USD",9727300000,8191200000,8599800000,8843400000,8503700000,7131600000
450,1923,"Egypt, Arab Rep. of",469,"Transport_Services_Debit","BMSTR_BP6_USD",7178600000,7024800000,7429200000,8162990000,8552130000,8032690000
451,1928,"El Salvador",253,"Transport_Services_Credit","BXSTR_BP6_USD",489927015.2,450901779.1,482683786.7,476335141.7,525866748.1,273038009.9
452,1929,"El Salvador",253,"Transport_Services_Debit","BMSTR_BP6_USD",619397097.6,626095062,649269009.9,718389111.7,720932706.7,573455584.7
453,1933,"El Salvador",253,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",192934705.2,643640366.1,-110858238.2,198510468.1,42868961.93,575217977.9
454,1937,"El Salvador",253,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-688908851.8,-480225851.9,-379505020.3,-655824960.5,134308491.6,703470497.7
455,1938,"El Salvador",253,"Financial_Loans_Total","BFOLN_BP6_USD",-171521892.4,-692306369.2,24737285.46,-235859172.4,-37210537.36,-587406932.9
456,1943,"El Salvador",253,"Current_Account_Credit","BXGS_BP6_USD",6914058468,6871196858,7224712453,7564979852,8056709676,6073499480
457,1944,"El Salvador",253,"Current_Account_Debit","BMGS_BP6_USD",10925078972,10717286435,11336179943,12323286065,12468596697,10397566735
458,1949,"El Salvador",253,"Supplementary_Current_Capital","BTCC_BP6_USD",-688908851.8,-480225851.9,-379505020.3,-655824960.5,134308491.6,703470497.7
459,1953,"El Salvador",253,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",113040527.9,451775579.4,308036981.4,2019750.895,876017164.5,-1387164231
460,1961,"Estonia, Rep. of",939,"Current_Account_Debit","BMGS_BP6_USD",16821552494,17666042577,19343579707,21902535272,21712360403,21813233494
461,1968,"Estonia, Rep. of",939,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-185539062.8,-141277092.5,817331248.1,-156219129.8,238261264,348802294.2
462,1970,"Estonia, Rep. of",939,"Current_Account_Credit","BXGS_BP6_USD",17721872011,18537802620,20442093049,22744792026,22961770090,21769319392
463,1973,"Estonia, Rep. of",939,"Supplementary_Current_Capital","BTCC_BP6_USD",873773197.1,558676962.5,885344250.2,707696840.1,1262157546,208168095.4
464,1974,"Estonia, Rep. of",939,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",26135811.66,-48245712.62,-31961220.8,481500789.4,667493002.6,363145137.4
465,1975,"Estonia, Rep. of",939,"Financial_Loans_Total","BFOLN_BP6_USD",269867569.5,228831034,-753966461.5,239017894.6,-72485737.1,-222750063
466,1982,"Estonia, Rep. of",939,"Transport_Services_Debit","BMSTR_BP6_USD",1321944044,1374130228,1578605238,1805685793,1785699260,1477688295
467,1985,"Estonia, Rep. of",939,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",873775391.3,558675818.7,885341935.5,707695648.6,1262158641,208172569.8
468,1987,"Estonia, Rep. of",939,"Transport_Services_Credit","BXSTR_BP6_USD",1861923617,1733140553,1987372480,2334213882,2290140770,1760507763
469,1989,"Eswatini, Kingdom of",734,"Supplementary_Current_Capital","BTCC_BP6_USD",531440349.8,297808959.9,279297156.3,58327607.15,183962087.5,273053443.8
470,1994,"Eswatini, Kingdom of",734,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-15717058.36,12631491.95,51534890.96,73581306.15,-34696083.53,110189622.2
471,1995,"Eswatini, Kingdom of",734,"Financial_Loans_Total","BFOLN_BP6_USD",15757663.57,-12688458.65,-51534890.96,-73581306.15,34696083.53,-110075371.5
472,1997,"Eswatini, Kingdom of",734,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",531440349.8,297808959.9,279297156.3,58327607.15,183962087.5,273053443.8
473,1998,"Eswatini, Kingdom of",734,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-23723324,-25300713.07,-55094474.78,-59924579.72,-13316859.99,92792606.46
474,2007,"Eswatini, Kingdom of",734,"Transport_Services_Credit","BXSTR_BP6_USD",270970.8498,281192.5657,875943.5391,714621.4617,1324622.233,536886.8186
475,2008,"Eswatini, Kingdom of",734,"Transport_Services_Debit","BMSTR_BP6_USD",33217391.76,22356966.06,29023586.32,31557882.41,27739716.38,32302178.36
476,2013,"Eswatini, Kingdom of",734,"Current_Account_Debit","BMGS_BP6_USD",1690359266,1650110277,1947794179,2066910589,1923609636,1686194352
477,2016,"Eswatini, Kingdom of",734,"Current_Account_Credit","BXGS_BP6_USD",1743678940,1695049828,1914980626,1899341356,2047508514,1807821427
478,2036,"Euro Area",163,"Current_Account_Credit","BXGS_BP6_USD",3.23511e+12,3.24485e+12,3.56986e+12,3.87269e+12,3.8149e+12,3.5013e+12
479,2037,"Euro Area",163,"Current_Account_Debit","BMGS_BP6_USD",2.79036e+12,2.79314e+12,3.07574e+12,3.39704e+12,3.4316e+12,3.12371e+12
480,2045,"Euro Area",163,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",57282538839,1.21471e+11,24580442121,1.11565e+11,1.19665e+11,99018270427
481,2046,"Euro Area",163,"Financial_Loans_Total","BFOLN_BP6_USD",-25012716036,8603037593,63725160975,35957282628,-7641536446,-62645565380
482,2047,"Euro Area",163,"Transport_Services_Credit","BXSTR_BP6_USD",1.50875e+11,1.44911e+11,1.65737e+11,1.83578e+11,1.81485e+11,1.50275e+11
483,2049,"Euro Area",163,"Transport_Services_Debit","BMSTR_BP6_USD",1.39703e+11,1.37876e+11,1.48991e+11,1.66708e+11,1.62298e+11,1.47433e+11
484,2050,"Euro Area",163,"Supplementary_Current_Capital","BTCC_BP6_USD",3.33441e+11,3.6532e+11,3.86846e+11,3.45452e+11,2.76997e+11,2.26037e+11
485,2051,"Euro Area",163,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",3.33444e+11,3.6532e+11,3.86844e+11,3.45452e+11,2.76994e+11,2.26037e+11
486,2060,"Euro Area",163,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",11941530242,17127798146,-852210992.5,30039346658,6795195229,15031981190
487,2067,"Fiji, Rep. of",819,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",53257451.47,12060532.31,122216510.1,36203807.71,298293509.8,295772688.3
488,2068,"Fiji, Rep. of",819,"Financial_Loans_Total","BFOLN_BP6_USD",-45479043.17,27470531.82,-128153549.8,-42059356.55,-266649069.3,-294581136.6
489,2071,"Fiji, Rep. of",819,"Transport_Services_Credit","BXSTR_BP6_USD",333364932.5,338534855.5,375977944,497988200.2,483197954.3,140298315.5
490,2072,"Fiji, Rep. of",819,"Transport_Services_Debit","BMSTR_BP6_USD",301543216.8,303581979.3,343445105.9,385862539,397245301.7,223724683.2
491,2073,"Fiji, Rep. of",819,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-159575168,-173527661.2,-351021864.5,-466491325.5,-694906329.2,-610592995.2
492,2083,"Fiji, Rep. of",819,"Current_Account_Debit","BMGS_BP6_USD",2447036834,2496081238,2732197073,3093022834,3206096177,1977288239
493,2087,"Fiji, Rep. of",819,"Current_Account_Credit","BXGS_BP6_USD",2281871121,2304372448,2467109097,2660357995,2636399008,1230186406
494,2088,"Fiji, Rep. of",819,"Supplementary_Current_Capital","BTCC_BP6_USD",-159575168,-173527661.2,-351021864.5,-466491325.5,-694906329.2,-610592995.2
495,2093,"Fiji, Rep. of",819,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",66867947.51,-6986672.796,167963726.3,-126430158.6,92753312.4,-17499753.25
496,2097,"Finland",172,"Current_Account_Credit","BXGS_BP6_USD",83024113800,83780794264,96077881358,1.0601e+11,1.07084e+11,97419510795
497,2100,"Finland",172,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-2035200452,-4723555245,-1751134594,-4927329704,-639579172.7,1961826134
498,2101,"Finland",172,"Transport_Services_Debit","BMSTR_BP6_USD",5386025940,5465188407,6178704034,7266237394,6839770578,5779973200
499,2103,"Finland",172,"Current_Account_Debit","BMGS_BP6_USD",84365529534,86837943188,95955454866,1.09443e+11,1.06664e+11,97037427862
500,2108,"Finland",172,"Transport_Services_Credit","BXSTR_BP6_USD",3496319053,3650431303,4328499849,5019434704,5077349567,3026969422
501,2112,"Finland",172,"Financial_Loans_Total","BFOLN_BP6_USD",-8276573854,-15204838638,-1636961396,-9354924430,5903922955,-8138675492
502,2115,"Finland",172,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-265378242,597935390.8,-443959589.2,-71620570.19,615551388.2,991179509.4
503,2119,"Finland",172,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-980390109.8,3143105403,1205736955,10664153034,1436746274,5956888654
504,2124,"Finland",172,"Supplementary_Current_Capital","BTCC_BP6_USD",-2030782989,-4725799083,-1751062117,-4930884722,-638483824,1960724721
505,2127,"France",132,"Transport_Services_Credit","BXSTR_BP6_USD",41873314555,40281580519,46006854170,46783712551,46315511245,42337732456
506,2133,"France",132,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",21456098507,20809569108,53637677415,21783480744,2158446339,17103608854
507,2134,"France",132,"Financial_Loans_Total","BFOLN_BP6_USD",-40266300670,1.4067e+11,-5742975645,2.71667e+11,37868107965,44688891165
508,2136,"France",132,"Transport_Services_Debit","BMSTR_BP6_USD",45022603180,45662401776,49307196526,54016343452,51646039896,43625439631
509,2141,"France",132,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-10240032287,-10957418215,-17693660953,-21900877301,15962826073,-39078148734
510,2143,"France",132,"Current_Account_Debit","BMGS_BP6_USD",7.87378e+11,7.93619e+11,8.58197e+11,9.4788e+11,9.16214e+11,7.99147e+11
511,2145,"France",132,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",7992233508,2304897437,-3363510193,12442281008,3162634273,4537610252
512,2150,"France",132,"Supplementary_Current_Capital","BTCC_BP6_USD",-10241189301,-10957422200,-17693668200,-21900766932,15962827280,-39078384915
513,2155,"France",132,"Current_Account_Credit","BXGS_BP6_USD",7.77545e+11,7.80381e+11,8.34698e+11,9.15679e+11,8.92016e+11,7.5231e+11
514,2223,"Gambia, The",648,"Current_Account_Credit","BXGS_BP6_USD",214593944.5,187432506.4,278129675.4,362513207.2,360207997.8,175681761
515,2225,"Gambia, The",648,"Current_Account_Debit","BMGS_BP6_USD",399006702.3,372620492.2,560644613.9,691721075.9,640548309.9,690979474.1
516,2233,"Gambia, The",648,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",48590000,22020149.15,105999967.1,10959886.25,27237003.4,35498414.16
517,2235,"Gambia, The",648,"Financial_Loans_Total","BFOLN_BP6_USD",-48590000,-22020149.15,-105999967.1,-10959886.25,-27237003.4,-35498414.16
518,2237,"Gambia, The",648,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-34438299.53,-57677003.27,-39562821.11,-79120603.61,32298079.66,8603139.758
519,2239,"Gambia, The",648,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-58507287.5,-31505180.99,80291542.02,21498021.69,70651677.3,132248729.2
520,2243,"Gambia, The",648,"Supplementary_Current_Capital","BTCC_BP6_USD",-46532656.47,-57689562.71,-103554475.5,-98031380.04,32298079.66,-46285282.97
521,2247,"Gambia, The",648,"Transport_Services_Credit","BXSTR_BP6_USD",20471639.12,9474283.189,12739440.26,31710121.43,40815314.19,38804803.33
522,2249,"Gambia, The",648,"Transport_Services_Debit","BMSTR_BP6_USD",51217791.23,47010746.41,70871083.98,86514399.81,81570590.32,88279731.6
523,2272,"Georgia",915,"Current_Account_Debit","BMGS_BP6_USD",8655960251,8488467492,9344910838,10768594069,11161916850,8967427131
524,2278,"Georgia",915,"Current_Account_Credit","BXGS_BP6_USD",6108160411,6177733456,7560033325,8896617467,9546068066,5926626715
525,2281,"Georgia",915,"Supplementary_Current_Capital","BTCC_BP6_USD",-1811153988,-1917793894,-1338492415,-1188785789,-1031440862,-2119653812
526,2283,"Georgia",915,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-99414710.01,244715501.7,241814860.8,278487407,202316098.2,305668252.2
527,2284,"Georgia",915,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-1708689316,-1834660682,-1225194829,-1116153291,-977488151.7,-1939570029
528,2289,"Georgia",915,"Transport_Services_Credit","BXSTR_BP6_USD",952134809,919892508.9,959679218.4,973893581.8,1006723306,698006096.3
529,2293,"Georgia",915,"Transport_Services_Debit","BMSTR_BP6_USD",956903976.4,957027389.2,1082022146,1257932269,1276444595,809799535.5
530,2295,"Georgia",915,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",890220798.7,948854269.7,525409353.3,587570731.7,52549683.38,1587183148
531,2298,"Georgia",915,"Financial_Loans_Total","BFOLN_BP6_USD",-763490041.9,-1037203268,-459936944.6,-543391701.4,9014901.86,-1633167149
532,2303,"Germany",134,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-2421942263,1896844161,-1482727059,455228507.5,-594219616,-66916003.55
533,2305,"Germany",134,"Current_Account_Credit","BXGS_BP6_USD",1.57525e+12,1.59825e+12,1.7415e+12,1.88164e+12,1.8331e+12,1.69182e+12
534,2306,"Germany",134,"Current_Account_Debit","BMGS_BP6_USD",1.32021e+12,1.34185e+12,1.4809e+12,1.6369e+12,1.6023e+12,1.46406e+12
535,2318,"Germany",134,"Transport_Services_Credit","BXSTR_BP6_USD",56541794379,55228202914,61814987732,69942645515,78508491962,64685530338
536,2319,"Germany",134,"Transport_Services_Debit","BMSTR_BP6_USD",62319323823,61795634582,65985504228,72359296555,74487248391,70773566998
